PI_name,Place,Type,Latitude,Longitude
Sara Smith,Mount Royal College,Sign Up,51.01650702,-114.1328841
Heather Proctor,Univ Alberta,Gall Size Collection,53.38,-112.532
Heather Proctor,Univ Alberta,Gall Size Collection,53.593,-112.842
Lori Tolley-Jordan,Jackson State,Sign Up,33.82325574,-85.76823502
"Nora Underwood, Grace Soltis, Brian Inouye",Florida State,Gall Size Collection,30.445914,-84.169358
"Forbes, Andrew, Stephen Hendrix",Univ Iowa,Sign Up,41.66276388,-91.55498247
Jenn Weber,Southern Illinois Univ,Sign Up,37.71847363,-89.22705164
"Zielinski, Denise L",Purdue Univ,Sign Up,40.42378708,-86.92117314
John K Kelly,Univ Kansas,Sign Up,38.95435639,-95.25576392
Anne Worley,Univ Manitoba,Other Contribution,49.80754924,-97.1366259
"Jeff Conner, Kate Shaw",Mich State,Sign Up,42.40600323,-85.40225241
Trevor Vannatta,Crown College,Gall Size Collection,44.885069,-93.742297
"Emily Austen, Jada Ripley, Jasmine McNarin-Hart, Ashlyn Baillie, Kennedy Wry",Mount Allison Univ,Gall Size Collection,45.8509,-64.2546
"Emily Austen, Jada Ripley, Jasmine McNarin-Hart, Ashlyn Baillie, Kennedy Wry",Mount Allison Univ,Gall Size Collection,45.9389,-64.39946
"Emily Austen, Jada Ripley, Jasmine McNarin-Hart, Ashlyn Baillie, Kennedy Wry",Mount Allison Univ,Gall Size Collection,45.903885,-64.38705
"Kristi Montooth, John DeLong, Jon Garbisch",Univ Nebraska,Sign Up,40.82032648,-96.70049776
Tom Powell,Univ Binghamton,Sign Up,42.08958005,-75.96944559
"Randall Mitchel, Morgan Hughes",Uinv. Akron,Other Contribution,41.07679225,-81.51251406
"Ken Petren, Stephen Matter, Culley, Theresa",Univ Cincinatti,Sign Up,39.13306338,-84.51493967
"Don Cipollinin, John O. Stireman, Ecology Class, Parker Cadigan and Abacus O'Connor",Wright State,Gall Size Collection,39.75532922,-84.01757368
"Don Cipollinin, John O. Stireman, Ecology Class, Parker Cadigan and Abacus O'Connor",Wright State,Gall Size Collection,39.83766236,-83.89815101
"Don Cipollinin, John O. Stireman, Ecology Class, Parker Cadigan and Abacus O'Connor",Wright State,Gall Size Collection,39.77891486,-83.89487872
"Don Cipollinin, John O. Stireman, Ecology Class, Parker Cadigan and Abacus O'Connor",Wright State,Gall Size Collection,39.7553,-84.0176
"Carol Mapes, Zach Wink, Roland Hilger, Lucas Mortensen,",Kutztown State,Gall Size Collection,40.516251,-75.791796
Jim Fordyce,Univ Tenneessee,Sign Up,35.95458365,-83.9294564
"Larry Gilbert, Colin R Morrison",Univ Texas,Sign Up,29.568935,-95.662028
"Kerri Crawford, Sophia LaRochelle",University of Huston,Gall Size Collection,29.389843,-95.038616
"Kerri Crawford, Sophia LaRochelle",University of Huston,Gall Size Collection,29.380213,-95.048768
Carrie Wu,Univ Richmond,Sign Up,37.58099401,-77.5410925
Jennifer Wills,University of Lynchburg,Sign Up,37.38844859,-79.5375984
Sarah M. Witiak,Virginia State Univ,Sign Up,37.2385714,-77.41980768
"Mark A. McPeek, Craig Layne, Gail McPeek, Ecology Class",Dartmouth College,Gall Size Collection,43.73667,-72.24805
"Alison Brody, Wylie Roberts",Univ Vermont,Other Contribution,44.4518171,-73.1931858
"Stephen M. Ferguson, Carrie Kinsman",St. Norbert College,Sign Up,44.44377909,-88.06949573
Natalie Zardecki,Univ Calgary,Gall Size Collection,50.72497,-114.43488
Tory Blanchard,Univ Calgary,Sign Up,51.07902836,-114.134515
Justyna Kruczalak,Univ Calgary,Sign Up,51.07902836,-114.134515
Tim Lampasona,Vassar,Sign Up,41.6867762,-73.89567609
"Jennifer Lau, Jordan Ziss",University of Indiana,Gall Size Collection,39.2154,-86.5281
Michael Tomlinson,Louden Academy,Gall Size Collection,39.292691,-77.724991
Michael Tomlinson,Louden Academy,Gall Size Collection,39.293321,-77.728297
"Glen Hood, Grace Szewc",Wayne State University,Gall Size Collection,42.273583,-83.802533
Daniel McClosky,Unaffliated,Gall Size Collection,40.852874,-77.81425
Pedro Brandao Dias Ferreira Pinto,UT Austin,Gall Size Collection,29.568935,-95.662028
"Mia Howard, Madeleine Schouman, Alex Cooper",UMichigan,Gall Size Collection,42.2970211,-83.6660543
"Dr. Max Helmberger, Drew Bouchie",Boston University (Now at MSU),Gall Size Collection,42.2966,-71.6317
Art Weis,University of Toronto,Gall Size Collection,45,-75.511265
Art Weis,University of Toronto,Gall Size Collection,44.06514,-79.459309
Art Weis,University of Toronto,Gall Size Collection,44.360136,-79.745392
Art Weis,University of Toronto,Gall Size Collection,45.713482,-74.892964
"Linyi Zhang, Tim Craig, Jo Itami",University of MN Duluth and George Washington University,Gall Size Collection,42.413667,-94.225278
"Linyi Zhang, Tim Craig, Jo Itami",University of MN Duluth and George Washington University,Gall Size Collection,41.417778,-94.588833
"Linyi Zhang, Tim Craig, Jo Itami",University of MN Duluth and George Washington University,Gall Size Collection,40.334028,-95.115417
"Linyi Zhang, Tim Craig, Jo Itami",University of MN Duluth and George Washington University,Gall Size Collection,43.038193,-93.028579
"Linyi Zhang, Tim Craig, Jo Itami",University of MN Duluth and George Washington University,Gall Size Collection,46.6761111,-92.735833
"Linyi Zhang, Tim Craig, Jo Itami",University of MN Duluth and George Washington University,Gall Size Collection,46.6761111,-92.735833
"Linyi Zhang, Tim Craig, Jo Itami",University of MN Duluth and George Washington University,Gall Size Collection,43.6746372,-92.93911
"Linyi Zhang, Tim Craig, Jo Itami",University of MN Duluth and George Washington University,Gall Size Collection,41.452377,-78.547932
"Linyi Zhang, Tim Craig, Jo Itami",University of MN Duluth and George Washington University,Gall Size Collection,43.514488,-92.946656
"Linyi Zhang, Tim Craig, Jo Itami",University of MN Duluth and George Washington University,Gall Size Collection,43.6746372,-92.93911
"Linyi Zhang, Tim Craig, Jo Itami",University of MN Duluth and George Washington University,Gall Size Collection,38.905917,-96.863083
"Linyi Zhang, Tim Craig, Jo Itami",University of MN Duluth and George Washington University,Gall Size Collection,45.7155,-96.049139
"Linyi Zhang, Tim Craig, Jo Itami",University of MN Duluth and George Washington University,Gall Size Collection,41.800758,-78.695245
"Linyi Zhang, Tim Craig, Jo Itami",University of MN Duluth and George Washington University,Gall Size Collection,42.753817,-77.930327
"Linyi Zhang, Tim Craig, Jo Itami",University of MN Duluth and George Washington University,Gall Size Collection,46.870194,-96.453611
"Linyi Zhang, Tim Craig, Jo Itami",University of MN Duluth and George Washington University,Gall Size Collection,46.870194,-96.453611
"Linyi Zhang, Tim Craig, Jo Itami",University of MN Duluth and George Washington University,Gall Size Collection,42.640053,-78.349211
"Linyi Zhang, Tim Craig, Jo Itami",University of MN Duluth and George Washington University,Gall Size Collection,43.961887,-93.125972
"Linyi Zhang, Tim Craig, Jo Itami",University of MN Duluth and George Washington University,Gall Size Collection,42.600851,-93.02663
"Linyi Zhang, Tim Craig, Jo Itami",University of MN Duluth and George Washington University,Gall Size Collection,43.093863,-77.386945
